學校,2013,2014,2015,2016,2017,2018,2019,2020,
平鎮高中,1,3,7,7,8,13,16,19,
高苑工商,4,4,5,7,9,11,13,14,
穀保家商,0,0,0,1,2,2,6,13,
南英商工,4,4,8,8,8,9,10,11,
美和中學,0,1,3,4,5,5,6,6,
西苑高中,1,2,2,2,3,3,4,5,
普門中學,0,0,0,0,0,1,2,5,
興大附農,1,1,1,1,1,4,4,4,
花蓮體中,1,1,1,2,2,3,4,4,
東大體中,0,0,0,0,0,1,3,4,
成德高中,0,0,0,1,1,1,1,3,
東石高中,0,0,1,1,1,1,1,2,
嘉義高中,0,0,0,0,1,1,1,2,
成功商水,1,1,1,1,1,1,1,1,
屏東高中,0,1,1,1,1,1,1,1,
桃園農工,0,1,1,1,1,1,1,1,
中興高中,0,0,1,1,1,1,1,1,
壽山高中,0,0,1,1,1,1,1,1,
北科附工,0,0,0,0,0,1,1,1,
大理高中,0,0,0,0,0,0,1,1,
強恕中學,0,0,0,0,0,0,0,1,
